ImageId,EncodedPixels
393_5823_RGB_2020_02_05, 121448 2 121960 2
393_5823_RGB_2020_02_05, 103521 1 104033 3 104545 3 105057 3 105569 3 106081 3 106593 3 107105 3 107617 3 108129 2 108641 2 109153 2 109665 2 110177 2 110689 2 111201 2 111713 2 112225 2 112737 2 113249 2 113761 2 114273 2 114785 2 115297 2 115809 2 116321 2 116833 2 117345 2 117857 2 118369 2 118881 2 119393 3 119905 3 120417 3
393_5823_RGB_2020_02_05, 56366 3 56372 2 56877 4 56883 3 57390 2 57396 2 60974 2 60980 1 61486 3 61492 2 61997 4 62003 3 62510 2 62516 2 66605 3 66612 2 67117 4 67124 2 71213 1 71215 1 71220 2 71725 4 71731 4 72237 4 72243 4 72749 1 72751 1 72756 2 76334 2 76340 2 76846 3 76852 2 77358 3 77364 2 77870 2 77876 2 80948 1 81454 2 81461 1 81974 1 82486 1 82991 1 82997 1 85558 2 86063 1 86066 1 86069 3 86582 2 87094 2 87605 3 88118 2 88630 2 89138 1 89141 3 89654 2 90166 2 90674 1 90677 3 91190 2 91702 2 92210 1 92213 3 92726 2 93238 1 93746 1 93749 1 94262 1 97334 1 97846 1 99378 1 99381 2 99893 1 103986 1 103988 1 104494 1 105518 1 105524 1 106034 1 106036 1 107054 1 107572 1 108082 1 108084 1 119341 1 119853 1
393_5823_RGB_2020_02_05, 118363 3 118875 3 119387 3 119899 3 120411 1 120413 1 120923 3 121435 3 121947 3 122459 3 122971 3 123483 1 123485 1 123995 1 123997 1
393_5823_RGB_2020_02_05, 20053 1 20557 1 20560 1 20562 1 20565 1 21069 2 21072 1 21074 2 21077 1 21580 10 22092 10 22604 10 23116 10 23628 10 24140 10 24653 9 25166 1 25168 1 25170 4 25677 9 26189 9 26700 10 27212 10 27724 10 28236 10 28748 10 29260 10 29772 10 30284 10 30796 10 31308 10 31820 10 32332 10 32844 10 33356 10 33868 10 34380 3 34384 1 34386 4 34896 1 34898 1 34901 1 35408 1 35410 2 35413 1 35916 5 35922 4 36428 10 36940 10 37452 10 37964 10 38476 10 38988 2 38991 7 39500 2 39504 1 39506 4 40018 1 40021 1 40524 2 40530 4 41036 2 41041 5 41548 2 41553 5 42060 10 42572 2 42577 5 43084 2 43089 5 43596 2 43601 5 44108 2 44114 4 44626 1 44629 1 45133 1 45136 1 45138 4 45644 2 45650 4 46156 2 46161 5 46668 2 46673 5 47180 2 47185 5 47692 2 47697 5 48204 10 48716 2 48721 5 49229 1 49234 4 49746 1 49749 1 50253 1 50258 4 50764 2 50769 5 51276 2 51279 7 51788 2 51793 5 52300 2 52305 5 52812 2 52817 5 53324 2 53329 5 53836 2 53842 4 54352 1 54354 1 54357 1 54861 1 54866 1 54869 1 55372 2 55378 4 55884 2 55889 5 56396 2 56401 5 56908 2 56913 5 57420 2 57423 7 57932 2 57937 5 58444 2 58449 5 58957 1 58962 4 59474 1 59477 1 59981 1 59986 4 60492 2 60495 7 61004 2 61009 5 61516 2 61521 5 62028 2 62033 5 62540 2 62545 5 63052 2 63057 5 63564 2 63568 1 63570 4 64082 1 64085 1 64589 1 64594 1 64597 1 65100 2 65106 4 65612 2 65617 5 66124 2 66128 6 66636 2 66639 7 67148 2 67152 6 67660 2 67665 5 68172 2 68178 4 68685 1 68690 2 68693 1 69202 1 69205 1 69709 1 69712 1 69714 2 69717 1 70220 2 70225 5 70732 2 70737 5 71244 2 71249 5 71756 2 71761 5 72268 2 72272 6 72780 10 73293 1 73296 1 73298 4 73813 1 74325 1 74828 2 74834 4 75340 2 75344 6 75852 2 75855 7 76364 2 76368 6 76876 2 76881 5 77388 2 77393 5 77900 2 77906 4 78413 1 78416 1 78418 2 78421 1 78928 1 78930 1 78933 1 79437 1 79440 1 79442 2 79445 1 79949 1 79954 4 80460 2 80465 5 80972 2 80977 5 81484 10 81996 10 82509 9 83021 1 83024 1 83026 4 83536 1 83541 1 84048 1 84053 1 84557 1 84565 1 85076 2 85588 2 86100 2 86612 1
393_5823_RGB_2020_02_05, 201885 2 202397 3 202909 3 203421 3 203933 3 204445 3 204957 3 205469 2 205981 3 206493 2 207005 3 207517 3 208029 3 208541 3 209053 2 209565 3 210077 2 210589 3 211101 3 211613 3 212125 3 212637 3 213149 3 213661 2 214173 3
393_5823_RGB_2020_02_05, 109618 1 109620 1 110132 1 110638 1 111666 1 111668 1 111670 1 112180 1 113198 1 113714 1 113716 1 114222 1 115250 1 115252 1 115755 1 115758 1 115761 2 115764 1 115766 1 116779 6 117292 1 117294 3 117298 1 117300 1 117302 1 117803 2 117806 5 117812 1 117814 1 118315 6 118827 6 119339 2 119342 5 119348 1 119350 1 119852 1 119854 3 119860 1 120363 6 120875 6 121387 7 121396 1 121398 1 121900 1 121903 2 122411 2 122414 3 122923 6 123435 6 123442 1 123444 1 123446 1 123947 2 123950 3 124460 1 124462 3 124971 6 124978 1 124980 1 125483 10 125494 1 125496 1 125498 1 125995 6 126508 1 126511 2 126515 1 127019 18 127531 19 128043 19 128556 1 128558 3 128562 3 128566 3 128570 3 129067 2 129070 3 129074 3 129078 3 129082 3 129579 19 130091 19 130603 2 130606 16 131116 1 131119 2 131122 3 131126 2 131130 4 131627 19 132139 19 132651 19 133164 1 133167 2 133170 3 133174 3 133178 2 133181 1 133676 1 133678 7 133686 3 133690 4 134187 19 134699 19 135211 2 135214 7 135222 3 135226 3 135724 1 135727 2 135730 3 135734 3 135738 2 136235 14 136250 3 136748 17 137260 1 137262 3 137266 3 137270 3 137274 3 137775 2 137779 1 137783 1 137786 2 138286 3 138290 3 138294 3 138298 2 138796 17 139308 7 139316 3 139320 2
393_5823_RGB_2020_02_05, 115801 1 117337 1
393_5823_RGB_2020_02_05, 44069 6 44581 6 45093 6 45605 6 46117 7 46629 7 47141 1 47146 2 47653 7 48165 3 48170 1 48678 2 48682 1 51243 1 51755 1 52266 2 52774 2 52778 1 53287 1 53290 1 56363 1 56874 2 57386 2 57898 1 60971 1 61478 1 61482 2 61990 2 61993 3 62502 1 62505 3 63018 1 66090 1 66598 1 66601 3 67115 1 67626 1 70694 1 70698 1 71206 1 71209 2 71718 1 71722 2 72234 2 72747 1 75302 1 75306 1 75814 1 75818 1 76330 2 76843 1 77355 1 77867 1 78379 1 79402 1 79914 1 80422 1 80426 1 80938 2 81451 1
393_5823_RGB_2020_02_05, 86634 1 87146 1 87658 1 88170 1 88682 1 89194 1 89706 1 100970 1 103530 1 107114 1 108138 1 108650 1 109162 1 109674 1 110186 1 110698 1 111210 1 111722 1 112234 1 112746 1 113258 1 113770 1 114282 1 114794 1 115306 1 115818 1 116330 1 116842 1 117354 1 117866 1 118378 1 118890 1 119402 1 119914 1 120426 1 120938 1 121450 1 121962 1 122474 1 122986 1 123498 1 124010 1 124522 1 125034 1 125546 1 126058 1 126570 1 127082 1 128106 1 128618 1 129130 1 129642 1
